Date,Open,High,Low,Close,Volume
1975-05-01,87.3,89.1,86.94,88.1,22955556
1975-05-02,88.1,89.98,87.91,89.22,28011111
1975-05-05,89.22,90.82,88.26,90.08,24855556
1975-05-06,90.08,90.86,88.15,88.64,28233333
1975-05-07,88.64,89.75,87.6,89.08,24722222
1975-05-08,89.08,90.13,88.23,89.56,25533333
1975-05-09,89.56,91.24,89.33,90.53,31600000
1975-05-12,90.53,91.67,89.91,90.61,24900000
1975-05-13,90.61,92.26,89.99,91.58,27722222
1975-05-14,91.58,93.23,91.17,92.27,32277778
1975-05-15,92.27,93.51,90.94,91.41,30766667
1975-05-16,91.41,91.59,89.74,90.43,18477778
1975-05-19,90.43,91.07,88.98,90.53,19855556
1975-05-20,90.53,91.45,89.58,90.07,20344444
1975-05-21,90.07,90.25,88.47,89.06,19600000
1975-05-22,89.06,90.3,88.35,89.39,19566667
1975-05-23,89.39,91.02,89.3,90.58,19855556
1975-05-27,90.58,91.29,89.6,90.34,18944444
1975-05-28,90.34,91.14,89.07,89.71,24277778
1975-05-29,89.71,90.59,88.83,89.68,20633333
1975-05-30,89.87,91.62,89.87,91.15,25188889
1975-06-02,91.32,93.41,91.32,92.58,31377778
1975-06-03,92.58,93.76,91.88,92.89,29511111
1975-06-04,92.89,93.61,91.82,92.6,27666667
1975-06-05,92.6,93.16,91.41,92.69,24011111
1975-06-06,92.69,93.6,91.75,92.48,24700000
1975-06-09,92.48,92.87,90.91,91.21,22966667
1975-06-10,91.21,91.21,89.46,90.44,23477778
1975-06-11,90.44,91.67,90,90.55,20255556
1975-06-12,90.55,91.36,89.64,90.08,17744444
1975-06-13,90.08,91.06,89.3,90.52,18111111
1975-06-16,90.52,91.85,90.12,91.46,18511111
1975-06-17,91.46,92.22,90.17,90.58,21600000
1975-06-18,90.58,91.07,89.6,90.39,17322222
1975-06-19,90.39,92.37,90.12,92.02,23833333
1975-06-20,92.02,93.75,91.83,92.61,29177778
1975-06-23,92.61,93.98,91.81,93.62,23022222
1975-06-24,93.62,95.23,93.31,94.19,29577778
1975-06-25,94.19,95.29,93.53,94.62,24011111
1975-06-26,94.62,95.72,93.88,94.81,27288889
1975-06-27,94.81,95.66,94.1,94.81,20911111
1975-06-30,94.81,95.85,94.3,95.19,21588889
1975-07-01,95.19,95.73,94.13,94.85,22655556
1975-07-02,94.85,94.91,93.37,94.18,20588889
1975-07-03,94.18,95.04,93.49,94.36,21111111
1975-07-07,94.36,94.82,93.16,93.54,17611111
1975-07-08,93.54,94.03,92.51,93.39,21100000
1975-07-09,93.39,95.22,93.38,94.8,29277778
1975-07-10,94.8,96.19,94.25,94.81,32088889
1975-07-11,94.81,95.69,93.83,94.66,24677778
1975-07-14,94.66,95.76,94.04,95.19,24333333
1975-07-15,95.19,96.58,94.71,95.61,31488889
1975-07-16,95.61,96.37,94.2,94.61,28055556
1975-07-17,94.61,95.03,92.99,93.63,23800000
1975-07-18,93.63,93.96,92.39,93.2,18744444
1975-07-21,93.2,93.93,92.03,92.44,18544444
1975-07-22,92.44,92.49,90.63,91.45,22955556
1975-07-23,91.45,92.15,89.83,90.18,22388889
1975-07-24,90.18,90.95,88.9,90.07,22833333
1975-07-25,90.07,90.72,88.72,89.29,16788889
1975-07-28,89.29,89.68,88.02,88.69,16500000
1975-07-29,88.69,89.91,87.71,88.19,21111111
1975-07-30,88.19,89.49,87.68,88.83,17944444
1975-07-31,88.83,90.07,88.31,88.75,16155556
1975-08-01,88.75,89.04,87.46,87.99,14800000
1975-08-04,87.99,88.17,86.68,87.15,14022222
1975-08-05,87.15,87.81,85.89,86.23,17188889
1975-08-06,86.23,87.04,85.34,86.25,18088889
1975-08-07,86.25,87.24,85.69,86.3,13766667
