Date,Open,High,Low,Close
1900-03-01,4.885,4.885,4.885,4.885
1900-06-01,4.885,4.895,4.885,4.895
1900-09-01,4.895,4.895,4.85,4.85
1900-12-01,4.85,4.86,4.85,4.86
1901-03-01,4.86,4.865,4.86,4.865
1901-06-01,4.865,4.865,4.86,4.86
1901-09-01,4.86,4.895,4.86,4.895
1901-12-01,4.895,4.895,4.875,4.875
1902-03-01,4.875,4.875,4.875,4.875
1902-06-01,4.875,4.875,4.865,4.865
1902-09-01,4.865,4.89,4.865,4.89
1902-12-01,4.89,4.89,4.875,4.875
1903-03-01,4.875,4.875,4.875,4.875
1903-06-01,4.875,4.89,4.875,4.89
1903-09-01,4.89,4.89,4.845,4.845
1903-12-01,4.845,4.855,4.845,4.855
1904-03-01,4.855,4.855,4.855,4.855
1904-06-01,4.855,4.855,4.855,4.855
1904-09-01,4.855,4.895,4.855,4.895
1904-12-01,4.895,4.895,4.88,4.88
1905-03-01,4.88,4.88,4.87,4.87
1905-06-01,4.87,4.8815,4.87,4.8815
1905-09-01,4.8815,4.8815,4.8505,4.8505
1905-12-01,4.8505,4.856,4.8505,4.856
1906-03-01,4.856,4.87,4.856,4.87
1906-06-01,4.87,4.88,4.87,4.88
1906-09-01,4.88,4.88,4.84,4.84
1906-12-01,4.84,4.84,4.84,4.84
1907-03-01,4.84,4.848,4.84,4.848
1907-06-01,4.848,4.8875,4.848,4.8875
1907-09-01,4.8875,4.8875,4.825,4.825
1907-12-01,4.825,4.8425,4.825,4.8425
1908-03-01,4.8425,4.8475,4.8425,4.8475
1908-06-01,4.8475,4.8475,4.8475,4.8475
1908-09-01,4.8475,4.874,4.8475,4.874
1908-12-01,4.874,4.874,4.871,4.871
1909-03-01,4.871,4.872,4.871,4.872
1909-06-01,4.872,4.8835,4.872,4.8835
1909-09-01,4.8835,4.8835,4.8565,4.8565
1909-12-01,4.8565,4.8675,4.8565,4.8675
1910-03-01,4.8675,4.88,4.8675,4.88
1910-06-01,4.88,4.885,4.88,4.885
1910-09-01,4.885,4.885,4.865,4.865
1910-12-01,4.865,4.865,4.865,4.865
1911-03-01,4.865,4.865,4.865,4.865
1911-06-01,4.865,4.865,4.865,4.865
1911-09-01,4.865,4.875,4.865,4.875
1911-12-01,4.875,4.875,4.87,4.87
1912-03-01,4.87,4.87,4.864,4.864
1912-06-01,4.864,4.8785,4.864,4.8785
1912-09-01,4.8785,4.8785,4.845,4.845
1912-12-01,4.845,4.853,4.845,4.853
1913-03-01,4.853,4.858,4.853,4.858
1913-06-01,4.858,4.88,4.858,4.88
1913-09-01,4.88,4.88,4.85,4.85
1913-12-01,4.85,4.855,4.85,4.855
1914-03-01,4.855,4.856,4.855,4.856
1914-06-01,4.856,6.25,4.856,6.25
1914-09-01,6.25,6.25,4.8513,4.8513
1914-12-01,4.8513,4.8525,4.8513,4.8525
1915-03-01,4.8525,4.8525,4.85,4.85
1915-06-01,4.85,4.8538,4.85,4.8538
1915-09-01,4.8538,4.8538,4.55,4.55
1915-12-01,4.55,4.7362,4.55,4.7362
1916-03-01,4.7362,4.7362,4.7362,4.7362
1916-06-01,4.7362,4.7362,4.7362,4.7362
1916-09-01,4.7362,4.7881,4.7362,4.7881
1916-12-01,4.7881,4.7881,4.7556,4.7556
1917-03-01,4.7556,4.7556,4.7556,4.7556
1917-06-01,4.7556,4.76,4.7556,4.76
1917-09-01,4.76,4.76,4.7512,4.7512
1917-12-01,4.7512,4.7512,4.7512,4.7512
1918-03-01,4.7512,4.7512,4.7512,4.7512
1918-06-01,4.7512,4.7512,4.7512,4.7512
1918-09-01,4.7512,4.7606,4.7512,4.7606
1918-12-01,4.7606,4.7606,4.7581,4.7581
1919-03-01,4.7581,4.7581,4.7581,4.7581
1919-06-01,4.7581,4.7583,4.7581,4.7583
1919-09-01,4.7583,4.7583,3.6525,3.6525
1919-12-01,3.6525,3.75,3.6525,3.75
1920-03-01,3.75,3.78,3.75,3.78
1920-06-01,3.78,3.9875,3.78,3.9875
1920-09-01,3.9875,3.9875,3.18,3.18
1920-12-01,3.18,3.525,3.18,3.525
1921-03-01,3.525,3.53,3.525,3.53
1921-06-01,3.53,3.53,3.53,3.53
1921-09-01,3.53,4.2063,3.53,4.2063
1921-12-01,4.2063,4.2063,4.2063,4.2063
1922-03-01,4.2063,4.2063,4.2,4.2
1922-06-01,4.2,4.2,4.17,4.17
1922-09-01,4.17,4.6475,4.17,4.6475
1922-12-01,4.6475,4.6475,4.6325,4.6325
1923-03-01,4.6325,4.6363,4.6325,4.6363
1923-06-01,4.6363,4.715,4.6363,4.715
1923-09-01,4.715,4.715,4.26,4.26
1923-12-01,4.26,4.3187,4.26,4.3187
1924-03-01,4.3187,4.3187,4.2725,4.2725
1924-06-01,4.2725,4.2725,4.2038,4.2038
1924-09-01,4.2038,4.73,4.2038,4.73
1924-12-01,4.73,4.73,4.7225,4.7225
1925-03-01,4.7225,4.7438,4.7225,4.7438
1925-06-01,4.7438,4.7438,4.7413,4.7413
1925-09-01,4.7413,4.86,4.7413,4.86
1925-12-01,4.86,4.86,4.8481,4.8481
1926-03-01,4.8481,4.8481,4.8469,4.8469
1926-06-01,4.8469,4.8469,4.84,4.84
1926-09-01,4.84,4.8659,4.84,4.8659
1926-12-01,4.8659,4.8659,4.8481,4.8481
1927-03-01,4.8481,4.8488,4.8481,4.8488
1927-06-01,4.8488,4.8488,4.8444,4.8444
1927-09-01,4.8444,4.88,4.8444,4.88
1927-12-01,4.88,4.88,4.8762,4.8762
1928-03-01,4.8762,4.8769,4.8762,4.8769
1928-06-01,4.8769,4.8794,4.8769,4.8794
1928-09-01,4.8794,4.8794,4.8431,4.8431
1928-12-01,4.8431,4.8488,4.8431,4.8488
1929-03-01,4.8488,4.8488,4.8469,4.8469
1929-06-01,4.8469,4.8469,4.8406,4.8406
1929-09-01,4.8406,4.8781,4.8406,4.8781
1929-12-01,4.8781,4.8781,4.8744,4.8744
1930-03-01,4.8744,4.8744,4.8731,4.8731
1930-06-01,4.8731,4.8731,4.8731,4.8731
1930-09-01,4.8731,4.8731,4.8516,4.8516
1930-12-01,4.8516,4.8516,4.8516,4.8516
1931-03-01,4.8516,4.8538,4.8516,4.8538
1931-06-01,4.8538,4.8681,4.8538,4.8681
1931-09-01,4.8681,4.8681,3.2325,3.2325
1931-12-01,3.2325,3.3775,3.2325,3.3775
1932-03-01,3.3775,3.3925,3.3775,3.3925
1932-06-01,3.3925,3.795,3.3925,3.795
1932-09-01,3.795,3.795,3.1444,3.1444
1932-12-01,3.1444,3.3275,3.1444,3.3275
